ID;HTS;TAMHOGAR;INGFAM;SEXO;AUTLIC;HORA;ORIGEN;DESTINO;JEFEHOGAR;NUMAUTO;NUMEST;NUMTRAB;LICTOT;CANTALT;ELECCION;TV1;TV2;TV3;TV4;TV5;TV6;TV7;TV8;TV9;TV6A;TV6M;TV7A;TV7M;TV8T;TV8M;TV9B;TV9M;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TE3;TE4;TE5;TE6;TE7;TE8;TE9;CT1;CT2;CT3;CT4;CT5;CT6;CT7;CT8;CT9;DISP1;DISP2;DISP3;DISP4;DISP5;DISP6;DISP7;DISP8;DISP9
397;48;4;35;1;0.5;830;404;512;1;1;2;1;2;6;1;11.43;12.32;9.98;0;14.28;12.8;22.58;0;0;1.4;11.4;11.18;11.4;0;0;0;0;6.97;0;5.28;0;5.77;4.32;3.12;0;0;0.6;0;0.7;3.2;3.2;0;0;4.49;1.67;3.06;0;1.36;1.8;0.85;0;0;1;1;1;0;1;1;1;0;0
398;23;5;200;0;0;810;405;701;0;0;2;1;3;7;4;0;5.88;11.83;9.1;18.57;0;11.75;9.3;8.3;0;0;2.65;9.1;4.2;5.1;3.2;5.1;0;3.37;0.72;13.92;0.97;0;2.03;1.2;1.2;0.8;1.3;0.9;0;1.3;2.08;2.4;0;0.27;2.04;0.44;0.68;0;0.44;1.46;1.12;0;1;1;1;1;0;1;1;1
399;60;5;72;1;0;705;307;113;1;0;1;2;0;3;4;0;0;4.57;7.2;7.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.97;10.57;4.32;0;0;0;0;0.4;3.2;0.1;0;0;0;0;0;0;2.72;0.85;1.36;0;0;0;0;0;0;1;1;1;0;0;0;0
400;40;3;130;0;0.33;815;315;701;1;1;2;1;3;7;6;13.77;13.77;15.43;0;33.63;17.1;27.57;0;18.9;3.1;14;13.57;14;0;0;4.9;14;3.37;3.37;8.77;0;9;1.62;1.62;0;9.23;0.4;0;0.7;1.3;1.3;0;1.5;5.2;0.58;2.04;0;0.68;1.02;0.44;0;1.12;1;1;1;0;1;1;1;0;1
401;55;2;120;1;0.5;830;117;701;1;1;0;2;2;8;6;16.23;16.23;18.17;0;39.87;18.17;48.7;23.95;28.18;14.57;3.6;45.1;3.6;9.95;14;19.08;9.1;3.37;3.37;3;0;17.03;2.03;2.03;3.48;10.68;0.6;0;3.3;1.3;1.3;1.9;4.6;5.51;0.71;2.38;0;0.68;1.97;0.48;2.14;1.12;1;1;1;0;1;1;1;1;1
402;48;3;250;1;0.5;840;502;701;0;1;1;1;2;7;8;10.77;10.77;0;0;18.58;12.73;20.07;10.48;12.08;4.93;7.8;12.27;7.8;2.68;7.8;4.28;7.8;4.8;4.8;0;0;4.2;2.03;2.03;4.43;4.43;0;0;0.6;1.3;1.3;1.9;2.1;1.09;0.54;0;0;0.68;1.46;0.48;1.12;1.05;1;1;0;0;1;1;1;1;1
403;48;3;250;1;0.5;840;502;701;0;1;1;1;2;7;8;10.77;10.77;0;0;18.58;12.73;20.07;10.48;12.08;4.93;7.8;12.27;7.8;2.68;7.8;4.28;7.8;4.8;4.8;0;0;4.2;2.03;2.03;4.43;4.43;0;0;0.6;1.3;1.3;1.9;2.1;1.09;0.54;0;0;0.68;1.46;0.48;1.12;1.05;1;1;0;0;1;1;1;1;1
404;48;1;78;1;1;830;412;701;1;1;0;1;1;6;6;16.58;16.58;0;0;27.83;18.93;29.22;0;20.67;7.23;11.7;17.52;11.7;0;0;6.67;14;3.37;3.37;0;0;9.97;4.43;4.43;0;10.2;0;0;0.9;1.3;1.3;0;4.3;5;0.48;0;0;0.68;1.22;0.48;0;1.12;1;1;0;0;1;1;1;0;1
405;45;5;45;1;0;830;304;113;1;0;1;1;1;2;5;0;0;0;5.4;6.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.57;2.77;0;0;0;0;0;3.2;0.1;0;0;0;0;0;0;0;0.85;1.36;0;0;0;0;0;0;0;1;1;0;0;0;0
406;40;7;150;0;0.5;800;408;701;0;3;3;3;6;3;9;0;0;0;0;23.82;12.68;0;0;14.2;2.28;10.4;0;0;0;0;3.8;10.4;0;0;0;0;4.08;2.03;0;0;4.32;0;0;0.9;1.3;0;0;1.9;0;0;0;0;0.68;1.29;0;0;1.12;0;0;0;0;1;1;0;0;1
